date,forecast_residential_load,forecast_ci_load,temperature,wind_speed
2026-03-18,14982439.122779204,5106000.096380733,-4.3,10.8
2026-03-19,13708414.663011882,4799718.894430811,0.7,7.4
2026-03-20,13854555.702360816,4878884.570121149,0.2,9.0
2026-03-21,13560048.488857837,4764858.490292138,1.4,5.9
2026-03-22,14348189.521339098,4461362.788107598,1.2,8.2
2026-03-23,15790333.8658201,4459914.597107642,-2.8,15.5
2026-03-24,15346735.362020275,4985252.667555904,-5.1,7.7
2026-03-25,14231860.658299321,4918156.804588635,-1.5,7.2
2026-03-26,12636310.294025857,4547474.3871509675,6.3,20.8
2026-03-27,15534673.027409067,5301040.918725055,-5.9,19.0
2026-03-28,15123177.0641725,5155363.645201582,-4.5,12.6
2026-03-29,15669326.74712411,4796297.233448559,-3.3,19.5
2026-03-30,15770212.276370792,4450110.512122142,-3.2,9.9
2026-03-31,13608776.114696644,4561510.701320057,2.5,12.3
2026-04-01,12145335.20879919,4410189.101990435,7.7,13.6
2026-04-02,12963183.863501243,4624455.235226,4.6,16.8
